epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1369.57,1.34123,0.83001,1.20511,0.82978,0.69697,0.80563,0.49618,1.26024,0.73496,1.21151,0.00333095,0.00333095,0.00333095
2,3320.72,1.40059,0.81967,1.23521,0.8174,0.68714,0.78688,0.47017,1.33245,0.81357,1.25758,0.0065983,0.0065983,0.0065983
3,7940.96,1.48769,0.90959,1.29441,0.79947,0.65143,0.75615,0.43408,1.42157,0.87788,1.33927,0.00979966,0.00979966,0.00979966
4,9196.93,1.52119,0.93734,1.32306,0.81639,0.67197,0.77871,0.45342,1.3909,0.84001,1.32034,0.009703,0.009703,0.009703
5,9637.87,1.46506,0.8833,1.29345,0.81948,0.68484,0.78556,0.46219,1.36426,0.81376,1.30781,0.009604,0.009604,0.009604
6,10052.9,1.43016,0.85243,1.26933,0.83707,0.70147,0.80139,0.48173,1.32236,0.77159,1.27292,0.009505,0.009505,0.009505
7,10466.2,1.39253,0.8196,1.25006,0.83966,0.71439,0.81341,0.49525,1.29495,0.75643,1.25513,0.009406,0.009406,0.009406
8,10937.7,1.3746,0.80036,1.23849,0.83963,0.71182,0.81263,0.4975,1.27746,0.74424,1.24691,0.009307,0.009307,0.009307
9,11353.9,1.35671,0.7901,1.23167,0.84075,0.72432,0.82314,0.50511,1.2818,0.73706,1.25021,0.009208,0.009208,0.009208
10,12345.9,1.34527,0.77584,1.2187,0.84909,0.72646,0.8286,0.51776,1.24852,0.70994,1.22175,0.009109,0.009109,0.009109
11,12722.4,1.32868,0.76675,1.21303,0.84756,0.73203,0.83118,0.51903,1.24011,0.70133,1.21442,0.00901,0.00901,0.00901
12,13095.6,1.32167,0.75435,1.20691,0.85535,0.73483,0.83711,0.53114,1.21344,0.68909,1.19904,0.008911,0.008911,0.008911
13,13473.5,1.30985,0.74518,1.2018,0.85597,0.74307,0.84307,0.53585,1.20453,0.67639,1.19615,0.008812,0.008812,0.008812
14,13846.7,1.30386,0.73862,1.19632,0.85723,0.74689,0.84536,0.53812,1.2019,0.67169,1.19265,0.008713,0.008713,0.008713
15,14219.7,1.29893,0.73332,1.19253,0.8602,0.74886,0.84713,0.54202,1.19111,0.6639,1.18125,0.008614,0.008614,0.008614
