epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.999,1.60722,1.31276,1.31666,0.77745,0.60689,0.71528,0.39922,1.44557,1.01545,1.27118,0.00333095,0.00333095,0.00333095
2,615.992,1.59994,1.09486,1.31404,0.77237,0.60094,0.70444,0.38941,1.49207,1.01039,1.29916,0.0065983,0.0065983,0.0065983
3,910.361,1.64974,1.11176,1.35205,0.74832,0.58078,0.68143,0.36482,1.565,1.06907,1.38198,0.00979966,0.00979966,0.00979966
4,1204.63,1.66074,1.09922,1.37013,0.76262,0.59927,0.70374,0.38361,1.53019,1.01258,1.36681,0.009703,0.009703,0.009703
5,1497.93,1.60985,1.04137,1.34435,0.78018,0.60227,0.71469,0.39555,1.501,0.95281,1.34348,0.009604,0.009604,0.009604
6,1788.41,1.58152,1.00426,1.32464,0.79078,0.6184,0.73492,0.41862,1.43851,0.91844,1.29934,0.009505,0.009505,0.009505
7,2079.27,1.54862,0.96923,1.30712,0.79622,0.6269,0.74091,0.42415,1.43307,0.89076,1.2959,0.009406,0.009406,0.009406
8,2367.61,1.53434,0.95158,1.29689,0.79836,0.63386,0.74875,0.42968,1.42436,0.88228,1.28471,0.009307,0.009307,0.009307
9,2653.81,1.51424,0.93638,1.28965,0.80607,0.64187,0.75863,0.43619,1.42324,0.86022,1.28051,0.009208,0.009208,0.009208
10,2940.73,1.50958,0.92423,1.27886,0.79907,0.64343,0.75761,0.43798,1.40782,0.85749,1.27701,0.009109,0.009109,0.009109
11,3228.12,1.49296,0.91372,1.27665,0.81319,0.65058,0.76383,0.44396,1.39781,0.83086,1.27769,0.00901,0.00901,0.00901
12,3524.02,1.48272,0.89957,1.26589,0.81995,0.65522,0.77155,0.45446,1.37385,0.81701,1.25438,0.008911,0.008911,0.008911
13,3815.71,1.47499,0.89262,1.26203,0.81862,0.66147,0.77704,0.4583,1.36077,0.81523,1.24679,0.008812,0.008812,0.008812
14,4105.62,1.47006,0.88577,1.2582,0.82401,0.66713,0.78002,0.45955,1.36744,0.80807,1.2461,0.008713,0.008713,0.008713
15,4367.61,1.4657,0.87894,1.25421,0.81893,0.6692,0.78227,0.46435,1.35262,0.80828,1.23296,0.008614,0.008614,0.008614
16,4627.1,1.45781,0.87453,1.24942,0.82058,0.67127,0.78379,0.46847,1.34058,0.79402,1.22802,0.008515,0.008515,0.008515
