epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.296,1.44063,0.91128,1.24516,0.80863,0.66025,0.77097,0.45879,1.33425,0.82171,1.24066,0.00333095,0.00333095,0.00333095
2,835.171,1.47412,0.88114,1.26365,0.79819,0.66066,0.76438,0.44806,1.36681,0.85722,1.26422,0.0065983,0.0065983,0.0065983
3,2068.9,1.5489,0.96465,1.31628,0.77261,0.61433,0.71722,0.3988,1.49217,0.95359,1.364,0.00979966,0.00979966,0.00979966
4,3300,1.57503,0.9878,1.34159,0.80422,0.64507,0.75597,0.42997,1.44032,0.88356,1.3244,0.009703,0.009703,0.009703
5,3778.79,1.52076,0.93611,1.31555,0.80788,0.65937,0.76717,0.44302,1.39662,0.85856,1.30507,0.009604,0.009604,0.009604
6,4208.04,1.48678,0.9028,1.28951,0.82374,0.67147,0.78245,0.46004,1.36862,0.81753,1.28312,0.009505,0.009505,0.009505
7,5986.25,1.45335,0.87033,1.27309,0.82521,0.68669,0.79093,0.46965,1.34554,0.80526,1.26222,0.009406,0.009406,0.009406
8,6352.92,1.43794,0.85481,1.26205,0.83002,0.68498,0.79105,0.47232,1.33497,0.79425,1.25643,0.009307,0.009307,0.009307
9,6710.18,1.42311,0.8439,1.25553,0.8349,0.68795,0.79933,0.4804,1.32218,0.76985,1.24484,0.009208,0.009208,0.009208
10,8702.8,1.41095,0.82993,1.24209,0.83738,0.69726,0.80604,0.48446,1.31733,0.76653,1.24445,0.009109,0.009109,0.009109
11,9050.25,1.39524,0.82145,1.23823,0.84005,0.69807,0.80319,0.48628,1.3108,0.75794,1.24328,0.00901,0.00901,0.00901
12,9448.24,1.38903,0.80845,1.2321,0.84135,0.70222,0.81083,0.4987,1.27702,0.73899,1.21244,0.008911,0.008911,0.008911
13,9818.39,1.37847,0.80087,1.22543,0.84493,0.71012,0.81696,0.50099,1.2743,0.73614,1.22152,0.008812,0.008812,0.008812
14,10184.2,1.37271,0.79409,1.2213,0.84808,0.71609,0.82148,0.50793,1.25953,0.71982,1.21199,0.008713,0.008713,0.008713
15,10537.9,1.3661,0.78578,1.21823,0.84464,0.7199,0.82248,0.50859,1.25733,0.72737,1.2104,0.008614,0.008614,0.008614
16,10916.9,1.35699,0.78218,1.21254,0.84741,0.72036,0.82463,0.51547,1.24246,0.71108,1.19746,0.008515,0.008515,0.008515
17,11277.3,1.35062,0.77783,1.21079,0.84955,0.72652,0.82863,0.51884,1.23832,0.69865,1.19601,0.008416,0.008416,0.008416
18,11648.3,1.34546,0.76882,1.20504,0.85067,0.72446,0.82718,0.51916,1.23437,0.69517,1.19415,0.008317,0.008317,0.008317
19,12010.3,1.33794,0.76474,1.20091,0.85105,0.72756,0.83159,0.52456,1.22502,0.68866,1.19,0.008218,0.008218,0.008218
20,12359.5,1.33027,0.7574,1.19767,0.8495,0.73046,0.82897,0.52009,1.23484,0.68783,1.20034,0.008119,0.008119,0.008119
21,12721.6,1.32639,0.75202,1.19258,0.85569,0.73291,0.83603,0.53027,1.21248,0.67722,1.18018,0.00802,0.00802,0.00802
22,14593.9,1.32819,0.75366,1.19441,0.85288,0.7346,0.83438,0.5246,1.22599,0.68286,1.18918,0.007921,0.007921,0.007921
23,14964.6,1.3177,0.74589,1.18939,0.85338,0.73808,0.83871,0.53158,1.21109,0.67563,1.17787,0.007822,0.007822,0.007822
24,15721.2,1.31122,0.74252,1.18659,0.85323,0.74051,0.84073,0.53452,1.20385,0.66659,1.17342,0.007723,0.007723,0.007723
25,16217,1.30455,0.73401,1.18279,0.8557,0.74164,0.84187,0.53663,1.20151,0.65924,1.17256,0.007624,0.007624,0.007624
26,16583.2,1.30623,0.73702,1.18497,0.86031,0.73988,0.84279,0.53818,1.19732,0.65881,1.16965,0.007525,0.007525,0.007525
27,16951.6,1.30362,0.73444,1.18303,0.85725,0.74461,0.84298,0.53832,1.19516,0.65774,1.16804,0.007426,0.007426,0.007426
28,17337,1.29587,0.73132,1.17979,0.85611,0.74542,0.84307,0.53586,1.20542,0.65862,1.17764,0.007327,0.007327,0.007327
29,17696.9,1.29195,0.72766,1.17988,0.85793,0.74515,0.8443,0.53962,1.19679,0.65324,1.1714,0.007228,0.007228,0.007228
30,18061.3,1.29288,0.72449,1.17449,0.85781,0.74671,0.84577,0.54368,1.18413,0.64903,1.16168,0.007129,0.007129,0.007129
31,18424.6,1.29162,0.72325,1.17418,0.85928,0.74857,0.84712,0.54511,1.18129,0.64364,1.15922,0.00703,0.00703,0.00703
32,18793,1.28707,0.72327,1.17434,0.85997,0.75017,0.84868,0.54564,1.18395,0.64377,1.16107,0.006931,0.006931,0.006931
33,19141.5,1.28639,0.71865,1.17132,0.85929,0.75189,0.84859,0.54619,1.18188,0.64062,1.16217,0.006832,0.006832,0.006832
34,19766,1.28059,0.71399,1.17035,0.86126,0.75184,0.84717,0.5443,1.18523,0.64169,1.16825,0.006733,0.006733,0.006733
35,20772.4,1.27526,0.71017,1.16769,0.86302,0.75247,0.85077,0.5487,1.17672,0.63501,1.15782,0.006634,0.006634,0.006634
36,21130.7,1.27276,0.71153,1.16657,0.86278,0.75363,0.8514,0.55004,1.17205,0.63127,1.15383,0.006535,0.006535,0.006535
37,21495.5,1.27106,0.70894,1.16559,0.86342,0.75547,0.85236,0.55222,1.1696,0.62835,1.15275,0.006436,0.006436,0.006436
38,21856.8,1.26242,0.70137,1.16058,0.86613,0.75503,0.85325,0.55342,1.16572,0.62668,1.15051,0.006337,0.006337,0.006337
39,22227.1,1.26762,0.70352,1.16212,0.86372,0.7568,0.85341,0.5536,1.16521,0.62504,1.15009,0.006238,0.006238,0.006238
40,22588.6,1.26031,0.69951,1.1565,0.8665,0.75618,0.85443,0.5548,1.16288,0.62306,1.14744,0.006139,0.006139,0.006139
41,24398.4,1.26004,0.69795,1.15883,0.86535,0.75807,0.85492,0.55593,1.16005,0.62118,1.14562,0.00604,0.00604,0.00604
42,25626.9,1.26057,0.695,1.15296,0.86555,0.75767,0.85496,0.55667,1.15791,0.61941,1.14459,0.005941,0.005941,0.005941
43,26511.7,1.25427,0.69158,1.15347,0.86646,0.75861,0.85563,0.55767,1.15884,0.61868,1.14477,0.005842,0.005842,0.005842
44,26879.3,1.25396,0.69223,1.15559,0.86696,0.7583,0.85615,0.55831,1.15671,0.61702,1.14329,0.005743,0.005743,0.005743
45,437.957,1.24312,0.68321,1.15013,0.86787,0.75846,0.85672,0.55882,1.15675,0.61546,1.14339,0.005644,0.005644,0.005644
46,800.297,1.24823,0.68593,1.15094,0.86811,0.75993,0.85716,0.55954,1.15498,0.61344,1.14247,0.005545,0.005545,0.005545
47,1729.57,1.24449,0.68633,1.14934,0.86694,0.7609,0.85759,0.56019,1.15314,0.61205,1.14171,0.005446,0.005446,0.005446
48,2118.84,1.24553,0.68219,1.14936,0.86745,0.76047,0.85764,0.56023,1.1528,0.6112,1.14183,0.005347,0.005347,0.005347
49,2465.17,1.24043,0.68158,1.14935,0.86707,0.76152,0.85792,0.56061,1.15175,0.61036,1.14116,0.005248,0.005248,0.005248
50,2820.05,1.2439,0.68337,1.14682,0.8675,0.76145,0.85804,0.56097,1.15133,0.60986,1.14034,0.005149,0.005149,0.005149
51,4423.75,1.23469,0.67613,1.14352,0.86835,0.76162,0.85856,0.56142,1.15127,0.60912,1.13989,0.00505,0.00505,0.00505
52,5393.94,1.23709,0.67737,1.14327,0.86729,0.76297,0.85899,0.56184,1.15123,0.60822,1.13897,0.004951,0.004951,0.004951
53,5775.28,1.23351,0.67815,1.14411,0.86781,0.76349,0.85947,0.56222,1.15134,0.60773,1.13873,0.004852,0.004852,0.004852
54,6735.01,1.23416,0.67444,1.14132,0.86891,0.7631,0.85956,0.56245,1.15172,0.60728,1.1387,0.004753,0.004753,0.004753
55,7064.85,1.22718,0.67314,1.14199,0.86922,0.76334,0.85983,0.56274,1.15246,0.6069,1.13869,0.004654,0.004654,0.004654
56,7413.47,1.22858,0.66931,1.14028,0.8696,0.76342,0.85984,0.56294,1.15257,0.60616,1.13855,0.004555,0.004555,0.004555
57,7748.92,1.22652,0.66879,1.13888,0.869,0.76492,0.86025,0.56326,1.15228,0.60538,1.1382,0.004456,0.004456,0.004456
58,8083.94,1.22407,0.66711,1.13815,0.86894,0.76508,0.86045,0.5637,1.15183,0.60478,1.13792,0.004357,0.004357,0.004357
59,8422.61,1.22396,0.66467,1.13583,0.86909,0.76566,0.86065,0.56395,1.15129,0.60419,1.13741,0.004258,0.004258,0.004258
60,8765.52,1.2192,0.66305,1.13434,0.86883,0.76587,0.86097,0.56432,1.15075,0.60341,1.13712,0.004159,0.004159,0.004159
61,9096.29,1.21813,0.66183,1.13539,0.87042,0.76489,0.86115,0.56467,1.15018,0.6028,1.13686,0.00406,0.00406,0.00406
62,9445.75,1.21567,0.65825,1.13257,0.86964,0.76572,0.86136,0.5649,1.14976,0.602,1.13656,0.003961,0.003961,0.003961
63,9781.39,1.21221,0.65792,1.1297,0.8706,0.76509,0.86154,0.56521,1.14922,0.6013,1.13623,0.003862,0.003862,0.003862
64,10112.8,1.20909,0.65245,1.12817,0.87102,0.7654,0.86175,0.56557,1.14863,0.60063,1.1358,0.003763,0.003763,0.003763
65,10448.6,1.20793,0.6505,1.12484,0.87148,0.76534,0.86183,0.56585,1.14822,0.59987,1.1355,0.003664,0.003664,0.003664
66,12090.5,1.21154,0.65245,1.12913,0.8714,0.76549,0.86214,0.56611,1.14771,0.59915,1.13513,0.003565,0.003565,0.003565
67,13029.9,1.20364,0.64621,1.12568,0.87127,0.76576,0.86232,0.56635,1.14721,0.59855,1.13478,0.003466,0.003466,0.003466
68,13551.5,1.19683,0.64544,1.12161,0.87098,0.76596,0.86241,0.5665,1.1467,0.59812,1.1344,0.003367,0.003367,0.003367
69,13881.7,1.19496,0.64113,1.11956,0.8708,0.76647,0.86261,0.56677,1.14625,0.59749,1.13404,0.003268,0.003268,0.003268
70,14215.4,1.19848,0.64396,1.12263,0.87027,0.76682,0.86277,0.567,1.14597,0.5969,1.13371,0.003169,0.003169,0.003169
71,14549.2,1.19673,0.64137,1.12175,0.87088,0.76686,0.86289,0.5672,1.14565,0.59633,1.13335,0.00307,0.00307,0.00307
72,14890.1,1.18961,0.63949,1.11865,0.87001,0.76794,0.86305,0.56735,1.1454,0.59585,1.13313,0.002971,0.002971,0.002971
73,15219.3,1.18704,0.63708,1.12018,0.87051,0.76784,0.86308,0.56756,1.14515,0.59536,1.133,0.002872,0.002872,0.002872
74,15961.9,1.18917,0.63578,1.11601,0.87114,0.76795,0.86341,0.56774,1.14491,0.59484,1.13286,0.002773,0.002773,0.002773
75,16437.9,1.18802,0.63521,1.11616,0.87085,0.76831,0.8635,0.56792,1.14473,0.59428,1.13261,0.002674,0.002674,0.002674
76,16774,1.18296,0.63404,1.11516,0.87076,0.76865,0.86367,0.56823,1.14445,0.59373,1.13232,0.002575,0.002575,0.002575
77,17104.7,1.18578,0.6326,1.11503,0.87126,0.76865,0.86378,0.56841,1.14414,0.59323,1.13217,0.002476,0.002476,0.002476
78,17435.5,1.17962,0.62813,1.11221,0.87081,0.76907,0.86382,0.56862,1.14385,0.59268,1.13192,0.002377,0.002377,0.002377
79,17784.7,1.175,0.62384,1.1107,0.87069,0.76943,0.86399,0.56884,1.14364,0.59217,1.1317,0.002278,0.002278,0.002278
80,18115,1.17244,0.62525,1.111,0.87139,0.76937,0.8642,0.56903,1.14355,0.59167,1.13156,0.002179,0.002179,0.002179
81,18445.7,1.17123,0.6234,1.11065,0.87118,0.7698,0.86434,0.56934,1.14313,0.59112,1.13137,0.00208,0.00208,0.00208
82,18776.8,1.16319,0.61681,1.10428,0.87118,0.76979,0.86439,0.56951,1.14283,0.59077,1.13113,0.001981,0.001981,0.001981
83,19124,1.1682,0.61889,1.10517,0.87147,0.76963,0.86452,0.56953,1.14263,0.59031,1.13085,0.001882,0.001882,0.001882
84,19456.4,1.16319,0.61531,1.10199,0.87132,0.76975,0.86471,0.5699,1.14229,0.58984,1.1305,0.001783,0.001783,0.001783
85,20819.8,1.16122,0.61481,1.10452,0.87159,0.76969,0.86489,0.57024,1.14201,0.58931,1.13021,0.001684,0.001684,0.001684
86,21149.8,1.16471,0.6139,1.10043,0.87144,0.77006,0.86499,0.57051,1.14163,0.58882,1.12999,0.001585,0.001585,0.001585
87,21487.4,1.15821,0.60988,1.10008,0.8714,0.77027,0.8652,0.57069,1.14145,0.58836,1.12973,0.001486,0.001486,0.001486
88,21818.3,1.15948,0.61173,1.10404,0.87206,0.76999,0.8652,0.57081,1.14123,0.5878,1.12951,0.001387,0.001387,0.001387
89,22151.4,1.15904,0.61098,1.10034,0.87209,0.77004,0.86534,0.57113,1.14104,0.58729,1.12925,0.001288,0.001288,0.001288
90,22481.7,1.15685,0.60964,1.10153,0.87261,0.76988,0.86526,0.57121,1.14094,0.58686,1.12902,0.001189,0.001189,0.001189
91,23431.4,1.11771,0.58228,1.09959,0.87265,0.77018,0.86535,0.57143,1.14075,0.58644,1.12873,0.00109,0.00109,0.00109
92,23756.2,1.11799,0.57927,1.098,0.87253,0.77045,0.86548,0.57167,1.14059,0.58591,1.12854,0.000991,0.000991,0.000991
93,24081.8,1.11222,0.57745,1.09603,0.87324,0.76969,0.86551,0.5718,1.14036,0.58552,1.1282,0.000892,0.000892,0.000892
94,24406.2,1.10829,0.57423,1.09544,0.87328,0.76984,0.86565,0.57205,1.1401,0.5851,1.12794,0.000793,0.000793,0.000793
95,24733.4,1.10898,0.57279,1.09111,0.87276,0.77037,0.8657,0.57227,1.13983,0.58462,1.12763,0.000694,0.000694,0.000694
96,25059.5,1.10418,0.5714,1.09192,0.8729,0.76989,0.86568,0.57242,1.13952,0.58419,1.12732,0.000595,0.000595,0.000595
97,25384.6,1.10476,0.57051,1.09163,0.87331,0.76969,0.86571,0.57247,1.13938,0.58372,1.12716,0.000496,0.000496,0.000496
98,25710,1.09795,0.56545,1.08909,0.87316,0.77003,0.86582,0.57273,1.13928,0.5834,1.12695,0.000397,0.000397,0.000397
99,26035.6,1.09958,0.5651,1.08817,0.87341,0.77001,0.86593,0.5729,1.13913,0.58292,1.1267,0.000298,0.000298,0.000298
100,26433.3,1.09387,0.56279,1.08773,0.87267,0.77054,0.86614,0.57316,1.13892,0.58253,1.12651,0.000199,0.000199,0.000199
